Name,new_Name,latitude,longitude
Banashankari,Bangalore Banashankari,15.8876779,75.7046777
Basavanagudi,Bangalore Basavanagudi,12.9417261,77.5755021
Mysore Road,Bangalore Mysore Road,12.9466619,77.5300896
Jayanagar,Bangalore Jayanagar,27.64392675,83.05280519687284
Kumaraswamy Layout,Bangalore Kumaraswamy Layout,12.9081487,77.5553179
Rajarajeshwari Nagar,Bangalore Rajarajeshwari Nagar,12.9274413,77.5155224
Vijay Nagar,Bangalore Vijay Nagar,16.7791503,74.6981692
Uttarahalli,Bangalore Uttarahalli,12.9055682,77.5455438
JP Nagar,Bangalore JP Nagar,12.2655944,76.6465404
South Bangalore,Bangalore South Bangalore,52.49148485,1.2372484335227272
City Market,Bangalore City Market,39.76880625,-86.15345077251979
Nagarbhavi,Bangalore Nagarbhavi,13.00196975,77.52883895255425
Bannerghatta Road,Bangalore Bannerghatta Road,12.9521804,77.6041899
BTM,Bangalore BTM,45.95485055,-112.49659530324134
Kanakapura Road,Bangalore Kanakapura Road,12.5442176,77.4213833
Bommanahalli,Bangalore Bommanahalli,12.9089453,77.6239038
,,46.3144754,11.0480288
CV Raman Nagar,Bangalore CV Raman Nagar,17.2510682,80.1651978
Electronic City,Bangalore Electronic City,15.67509025,73.81083634836561
HSR,Bangalore HSR,18.1475,41.538889
Marathahalli,Bangalore Marathahalli,12.9552572,77.6984163
Sarjapur Road,Bangalore Sarjapur Road,12.920441,77.6653284
Wilson Garden,Bangalore Wilson Garden,12.9489339,77.5968273
Shanti Nagar,Bangalore Shanti Nagar,22.478459,88.3541291
Koramangala 5th Block,Bangalore Koramangala 5th Block,12.9348429,77.6189768
Koramangala 8th Block,Bangalore Koramangala 8th Block,12.9408685,77.617338
Richmond Road,Bangalore Richmond Road,40.5763076,-74.1270894
Koramangala 7th Block,Bangalore Koramangala 7th Block,12.9364846,77.6134783
Jalahalli,Bangalore Jalahalli,13.0464531,77.5483803
Koramangala 4th Block,Bangalore Koramangala 4th Block,12.9327778,77.6294052
Bellandur,Bangalore Bellandur,12.93103185,77.6782471
Whitefield,Bangalore Whitefield,53.5533682,-2.2969019
East Bangalore,Bangalore East Bangalore,50.84612745,0.50281715
Old Airport Road,Bangalore Old Airport Road,34.0282305,74.7978062
Indiranagar,Bangalore Indiranagar,12.9732913,77.6404672
Koramangala 1st Block,Bangalore Koramangala 1st Block,12.9277245,77.6327822
Frazer Town,Bangalore Frazer Town,12.9986827,77.615525
RT Nagar,Bangalore RT Nagar,13.0227204,77.595715
MG Road,Bangalore MG Road,12.9755264,77.6067902
Brigade Road,Bangalore Brigade Road,12.9699876,77.6065344
Lavelle Road,Bangalore Lavelle Road,40.7652844,-76.373824
Church Street,Bangalore Church Street,40.7142453,-74.0084984
Ulsoor,Bangalore Ulsoor,12.9778793,77.6246697
Residency Road,Bangalore Residency Road,34.0699187,74.8052392
Shivajinagar,Bangalore Shivajinagar,18.532248199999998,73.84990967997429
Infantry Road,Bangalore Infantry Road,12.9829856,77.5964564
St. Marks Road,Bangalore St. Marks Road,54.1339384,-4.6097098
Cunningham Road,Bangalore Cunningham Road,36.5348643,-79.0905056
Race Course Road,Bangalore Race Course Road,1.3147772,103.8567062
Commercial Street,Bangalore Commercial Street,51.5227907,-0.0775448
Vasanth Nagar,Bangalore Vasanth Nagar,12.988721250000001,77.58516877601824
HBR Layout,Bangalore HBR Layout,13.0358698,77.6323597
Domlur,Bangalore Domlur,12.9624669,77.6381958
Ejipura,Bangalore Ejipura,12.945245,77.6269144
Jeevan Bhima Nagar,Bangalore Jeevan Bhima Nagar,12.9678074,77.6568367
Old Madras Road,Bangalore Old Madras Road,13.0533326,77.7618091
Malleshwaram,Bangalore Malleshwaram,13.0027353,77.5703253
Seshadripuram,Bangalore Seshadripuram,12.9931876,77.5753419
Kammanahalli,Bangalore Kammanahalli,13.0093455,77.6377094
Koramangala 6th Block,Bangalore Koramangala 6th Block,12.9390255,77.6238477
Majestic,Bangalore Majestic,1.2847055,103.84320655721689
Langford Town,Bangalore Langford Town,12.957998,77.6037312
Central Bangalore,Bangalore Central Bangalore,13.0101286,77.5548006
Sanjay Nagar,Bangalore Sanjay Nagar,23.1485712,81.6048241
Brookefield,Bangalore Brookefield,33.5935063,-79.0345627
"ITPL Main Road, Whitefield","Bangalore ITPL Main Road, Whitefield",12.9864828,77.7315457
"Varthur Main Road, Whitefield","Bangalore Varthur Main Road, Whitefield",12.944569,77.7469486
KR Puram,Bangalore KR Puram,13.007516,77.695935
Koramangala 2nd Block,Bangalore Koramangala 2nd Block,12.9243692,77.6242433
Koramangala 3rd Block,Bangalore Koramangala 3rd Block,12.9282918,77.6254034
Koramangala,Bangalore Koramangala,12.9340114,77.6222304
Hosur Road,Bangalore Hosur Road,12.7688298,77.7881932
Rajajinagar,Bangalore Rajajinagar,12.9882338,77.554883
Banaswadi,Bangalore Banaswadi,13.0141618,77.6518539
North Bangalore,Bangalore North Bangalore,12.9767936,77.590082
Nagawara,Bangalore Nagawara,13.2227,78.5541977
Hennur,Bangalore Hennur,13.0258087,77.6305067
Kalyan Nagar,Bangalore Kalyan Nagar,13.0221416,77.6403368
New BEL Road,Bangalore New BEL Road,13.0267404,77.5717955
Jakkur,Bangalore Jakkur,13.0784743,77.6068938
Rammurthy Nagar,Bangalore Rammurthy Nagar,,
Thippasandra,Bangalore Thippasandra,12.973936,77.6509982
Kaggadasapura,Bangalore Kaggadasapura,12.9846713,77.6790908
Hebbal,Bangalore Hebbal,13.0382184,77.5919
Kengeri,Bangalore Kengeri,12.9176571,77.4837568
Sankey Road,Bangalore Sankey Road,38.7801076,-121.5056438
Sadashiv Nagar,Bangalore Sadashiv Nagar,15.8782951,74.5084834
Basaveshwara Nagar,Bangalore Basaveshwara Nagar,12.2950874,76.6149845
Yeshwantpur,Bangalore Yeshwantpur,13.02383,77.5529215
West Bangalore,Bangalore West Bangalore,12.9781739,77.5695603
Magadi Road,Bangalore Magadi Road,12.9756527,77.5553548
Yelahanka,Bangalore Yelahanka,13.1006982,77.5963454
Sahakara Nagar,Bangalore Sahakara Nagar,18.4900796,73.8475301
Peenya,Bangalore Peenya,13.0329419,77.5273253
